# HSK3のラベル: id|hanzi|tags（カンマ区切り、1語につき1つ以上）
hsk3-301|阿姨|family,people
hsk3-429|借|verb
hsk3-430|经常|adverb,time
hsk3-431|经过|verb,travel
hsk3-432|经理|work,people
hsk3-433|久|adjective,time
hsk3-434|旧|adjective
hsk3-435|举行|verb
hsk3-436|句子|language
hsk3-437|决定|verb,thinking
hsk3-438|可爱|adjective
hsk3-439|渴|adjective,body
hsk3-440|刻|measure,time
hsk3-441|客人|people
hsk3-442|空调|home
hsk3-443|口|measure,body
hsk3-444|哭|verb,emotion
hsk3-445|裤子|clothes
hsk3-446|筷子|food
hsk3-447|蓝|adjective,color
hsk3-448|老|adjective
hsk3-449|离开|verb,travel
hsk3-450|礼物|shopping
hsk3-451|历史|school
hsk3-452|脸|body
hsk3-453|练习|verb,school
hsk3-454|辆|measure,travel
hsk3-455|了解|verb,thinking
hsk3-456|邻居|people
hsk3-457|楼|home
hsk3-458|绿|adjective,color
hsk3-459|马|animal
hsk3-460|马上|adverb,time
hsk3-461|满意|adjective,emotion
hsk3-462|帽子|clothes
hsk3-463|米|measure
hsk3-464|面包|food
hsk3-465|面条|food
hsk3-466|明白|verb,thinking
hsk3-467|拿|verb
hsk3-468|奶奶|family
hsk3-469|南|direction
hsk3-470|难|adjective
hsk3-471|难过|adjective,emotion
hsk3-472|年级|school
hsk3-473|年轻|adjective
hsk3-474|鸟|animal
hsk3-475|努力|verb,school
hsk3-476|爬山|verb,hobby
hsk3-477|盘子|food,home
hsk3-478|胖|adjective,body
hsk3-479|啤酒|food
hsk3-480|葡萄|food
hsk3-481|普通话|language
hsk3-482|其实|adverb
hsk3-483|其他|pronoun
hsk3-484|奇怪|adjective
hsk3-485|骑|verb,travel
hsk3-486|铅笔|school
hsk3-487|清楚|adjective
hsk3-488|秋|weather,time
hsk3-489|裙子|clothes
hsk3-490|然后|conjunction,time
hsk3-491|热情|adjective,emotion
hsk3-492|认为|verb,thinking
hsk3-493|认真|adjective
hsk3-494|容易|adjective
hsk3-495|如果|conjunction
hsk3-496|伞|clothes,weather
hsk3-497|上网|verb,tech
hsk3-498|生气|verb,emotion
hsk3-499|声音|language
hsk3-500|使|verb
hsk3-501|世界|travel
hsk3-502|瘦|adjective,body
hsk3-503|叔叔|family
hsk3-504|舒服|adjective,body
hsk3-505|树|weather
hsk3-506|数学|school
hsk3-507|刷牙|verb,daily
hsk3-508|双|measure,clothes
hsk3-509|水平|school
hsk3-510|司机|people,travel
hsk3-511|虽然|conjunction
hsk3-512|太阳|weather
hsk3-513|糖|food
hsk3-514|特别|adverb,degree
hsk3-515|疼|adjective,body
hsk3-516|提高|verb
hsk3-517|体育|school,hobby
hsk3-518|甜|adjective,food
hsk3-519|条|measure
hsk3-520|同事|people,work
hsk3-521|同意|verb,thinking
hsk3-522|头发|body
hsk3-523|突然|adverb
hsk3-524|图书馆|school
hsk3-525|腿|body
hsk3-526|完成|verb
hsk3-527|碗|food,home
hsk3-528|万|number
hsk3-529|忘记|verb,thinking
hsk3-530|为|preposition
hsk3-531|为了|preposition,conjunction
hsk3-532|位|measure,people
hsk3-533|文化|school
hsk3-534|西|direction
hsk3-535|习惯|verb,daily
hsk3-536|洗手间|home,travel
hsk3-537|洗澡|verb,daily
hsk3-538|夏|weather,time
hsk3-539|先|adverb,time
hsk3-540|相同|adjective,degree
hsk3-541|相信|verb,thinking
hsk3-542|香蕉|food
hsk3-543|像|verb
hsk3-544|小心|verb
hsk3-545|校长|people,school
hsk3-546|鞋|clothes
hsk3-547|新闻|tech
hsk3-548|新鲜|adjective,food
hsk3-549|信|language
hsk3-550|兴趣|hobby
hsk3-551|行李箱|travel
hsk3-552|熊猫|animal
hsk3-553|需要|verb
hsk3-554|选择|verb,thinking
hsk3-555|眼镜|clothes,body
hsk3-556|要求|verb
hsk3-557|爷爷|family
hsk3-558|一般|adjective,adverb
hsk3-559|一边|adverb
hsk3-560|一定|adverb
hsk3-561|一共|adverb,degree
hsk3-562|一会儿|time
hsk3-563|一样|adjective,degree
hsk3-564|一直|adverb
hsk3-565|以后|time
hsk3-566|以前|time
hsk3-567|以为|verb,thinking
hsk3-568|音乐|hobby
hsk3-569|银行|shopping,travel
hsk3-570|应该|modal
hsk3-571|影响|verb
hsk3-572|用|verb
hsk3-573|游戏|hobby,tech
hsk3-574|有名|adjective
hsk3-575|又|adverb
hsk3-576|遇到|verb,people
hsk3-577|愿意|modal,thinking
hsk3-578|月亮|weather
hsk3-579|越|adverb,degree
hsk3-580|云|weather
hsk3-581|站|verb,travel
hsk3-582|照顾|verb,people
hsk3-583|照片|tech,hobby
hsk3-584|照相机|tech,hobby
hsk3-585|只|adverb
hsk3-586|中间|direction
hsk3-587|终于|adverb,time
hsk3-588|种|measure
hsk3-589|重要|adjective
hsk3-590|周末|time
hsk3-591|主要|adjective,adverb
hsk3-592|注意|verb
hsk3-593|祝|verb,greeting
hsk3-594|着急|verb,emotion
hsk3-595|字典|school,language
hsk3-596|自己|pronoun
hsk3-597|总是|adverb,time
hsk3-598|最近|time
hsk3-599|作业|school
hsk3-600|作用|work,thinking
